PRODUCT_ID	CUST_ID	EMPLOYEE_ID	DEALERSHIP_ID	TRANSACTION_DATE	HOLDBACK	REBATE	SELLING_PRICE	DELIVERY_CHARGES	QUANITITY	DISCOUNT
53	53	53	53	08/20/2016 00:00:00	679	106	15750	70	180	3
54	54	54	54	03/30/2016 00:00:00	692	108	16050	90	183	5
55	55	55	55	04/23/2016 00:00:00	705	110	16350	150	186	1
56	56	56	56	11/23/2016 00:00:00	718	112	16650	25	189	2
57	57	57	57	01/30/2016 00:00:00	731	114	16950	60	192	4
58	58	58	58	11/23/2016 00:00:00	744	116	17250	70	195	6
59	59	59	59	11/23/2016 00:00:00	757	118	17550	90	198	8
60	60	60	60	11/23/2016 00:00:00	770	120	17850	150	201	10
61	61	61	61	12/15/2016 00:00:00	783	122	18150	25	204	12
62	62	62	62	09/21/2016 00:00:00	796	124	18450	60	207	7
63	63	63	63	03/24/2016 00:00:00	809	126	18750	70	210	4
64	64	64	64	03/19/2016 00:00:00	822	128	19050	90	213	3
65	65	65	65	01/24/2016 00:00:00	835	130	19350	150	216	5
66	66	66	66	02/23/2016 00:00:00	848	132	19650	25	219	1
67	67	67	67	03/24/2016 00:00:00	861	134	19950	60	222	2
68	68	68	68	04/21/2016 00:00:00	874	136	20250	25	225	4
69	69	69	69	01/24/2016 00:00:00	887	138	20550	60	228	6
70	70	70	70	03/23/2016 00:00:00	900	140	20850	70	231	8
71	71	71	71	01/24/2016 00:00:00	913	142	21150	90	234	10
72	72	72	72	02/23/2016 00:00:00	926	144	21450	150	237	12
73	73	73	73	03/24/2016 00:00:00	939	146	21750	25	240	7
74	74	74	74	04/21/2016 00:00:00	952	148	22050	60	243	4
75	75	75	75	03/24/2016 00:00:00	965	150	22350	70	246	3
76	76	76	76	03/19/2016 00:00:00	978	152	22650	90	249	5
77	77	77	77	03/24/2016 00:00:00	991	154	22950	150	252	1
78	78	78	78	04/23/2016 00:00:00	1004	156	23250	25	255	2
79	79	79	79	05/24/2016 00:00:00	1017	158	23550	60	258	4
80	80	80	80	09/21/2016 00:00:00	1030	160	23850	70	261	6
81	81	81	81	01/24/2016 00:00:00	1043	162	24150	90	264	8
82	82	82	82	02/23/2016 00:00:00	1056	164	24450	150	267	10
83	83	83	83	06/21/2016 00:00:00	1069	166	24750	25	270	12
84	84	84	84	01/24/2016 00:00:00	1082	168	25050	60	273	7
85	85	85	85	01/27/2016 00:00:00	1095	170	25350	25	276	4
86	86	86	86	02/20/2016 00:00:00	1108	172	25650	60	279	3
87	87	87	87	06/24/2016 00:00:00	1121	174	25950	70	282	5
88	88	88	88	06/14/2016 00:00:00	1134	176	26250	90	285	1
89	89	89	89	06/14/2016 00:00:00	1147	178	26550	150	288	2
90	90	90	90	08/13/2016 00:00:00	1160	180	26850	25	291	4
91	91	91	91	06/14/2016 00:00:00	1173	182	27150	60	294	6
92	92	92	92	12/19/2016 00:00:00	1186	184	27450	70	297	8
93	93	93	93	02/20/2016 00:00:00	1199	186	27750	90	300	10
94	94	94	94	02/20/2016 00:00:00	1212	188	28050	150	303	12
95	95	95	95	02/20/2016 00:00:00	1225	190	28350	25	306	7
96	96	96	96	03/17/2016 00:00:00	1238	192	28650	60	309	4
97	97	97	97	04/24/2016 00:00:00	1251	194	28950	70	312	3
98	98	98	98	05/23/2016 00:00:00	1264	196	29250	90	315	5
99	99	99	99	06/21/2016 00:00:00	1277	198	29550	150	318	1
100	100	100	100	01/13/2016 00:00:00	1290	200	29850	25	321	2
101	101	101	101	09/17/2016 00:00:00	1303	202	30150	60	324	4
102	102	102	102	02/17/2016 00:00:00	1316	204	30450	25	327	6
103	103	103	103	08/17/2016 00:00:00	1329	206	30750	60	330	8
104	104	104	104	09/21/2016 00:00:00	1342	208	31050	70	333	10
105	105	105	105	09/28/2016 00:00:00	1355	210	31350	90	336	12
106	106	106	106	01/13/2016 00:00:00	1368	212	31650	150	339	7
107	107	107	107	01/13/2016 00:00:00	1381	214	31950	25	342	4
