CUST_ID	CUST_NAME	ADDRESS	CITY	STATE	WEBSITE	CREDIT_LIMIT	VERSION
49	NextEra Energy	"4715 Sprecher Rd, Madison, WI"	 Madison	 WI	http://www.nexteraenergy.com	600	1
52	PG&E Corp.	"8600 W National Ave, Milwaukee, WI"	 Milwaukee	 WI	http://www.pge.com	700	1
55	Goodyear Tire & Rubber	"600 N Broadway Fl 1, Milwaukee, WI"	 Milwaukee	 WI	http://www.goodyear.com	700	1
59	Micron Technology	"411 E Wisconsin Ave # 2550, Milwaukee, WI"	 Milwaukee	 WI	http://www.micron.com	700	1
62	ConAgra Foods	"122 E Dayton St, Madison, WI"	 Madison	 WI	http://www.conagrafoods.com	900	1
66	Bank of New York Mellon Corp.	"666 22Nd Ave Ne, Minneapolis, MN"	 Minneapolis	 MN	http://www.bnymellon.com	1200	1
71	Genuine Parts	"200 1St St Sw, Rochester, MN"	 Rochester	 MN	http://www.genpt.com	1200	1
75	Omnicom Group	"2134 W Genesee St, Syracuse, NY"	 Syracuse	 NY	http://www.omnicomgroup.com	1200	1
79	Monsanto	"137 Lark St, Albany, NY"	 Albany	 NY	http://www.monsanto.com	1200	1
83	National Oilwell Varco	"1 Palisade Ave Fl 2, Yonkers, NY"	 Yonkers	 NY	http://www.nov.com	1200	1
86	Marriott International	"Po Box 2152, Buffalo, NY"	 Buffalo	 NY	http://www.marriott.com	1200	1
228	Kinder Morgan	"1614 Gitanjali Rd, Calcutta, "	 Calcutta	 	http://www.kindermorgan.com	5000	1
231	Molina Healthcare	"1617 Crackers St, Bangalore - India, Kar"	 Bangalore - India	 Kar	http://www.molinahealthcare.com	300	1
235	Lincoln National	"1622 Roja St, Chennai, Tam"	 Chennai	 Tam	http://www.lfg.com	5000	1
238	C.H. Robinson Worldwide	"1628 Pataudi St, New Delhi, "	 New Delhi	 	http://www.chrobinson.com	1900	1
242	Synnex	"1647 Suspense St, Cochin, Ker"	 Cochin	 Ker	http://www.synnex.com	500	1
245	HollyFrontier	"1656 Veterans Rd, Chennai, Tam"	 Chennai	 Tam	http://www.hollyfrontier.com	2500	1
249	PBF Energy	"Piazza Quattre Stagioni 4, Roma, "	 Roma	 	http://www.pbfenergy.com	3700	1
255	Waste Management	"Via Di Firenze 231, Roma, "	 Roma	 	http://www.wm.com	2400	1
259	Parker-Hannifin	"Canale Grande 2, Roma, "	 Roma	 	http://www.parker.com	700	1
263	Farmers Insurance Exchange	"Via Dello Croce 93, Tellaro, "	 Tellaro	 	http://www.farmers.com	100	1
268	VF	"1971 Limelight Blvd, Samutprakarn, "	 Samutprakarn	 	http://www.vfc.com	1200	1
313	Hertz Global Holdings	"1616 Crackers Blvd, Bangalore - India, Kar"	 Bangalore - India	 Kar	http://www.hertz.com	5000	1
319	BB&T Corp.	"1668 Chong Tao, Beijing, "	 Beijing	 	http://www.bbt.com	200	1
32	Global Partners	"1135 Catherine St, Ann Arbor, MI"	 Ann Arbor	 MI	http://www.globalp.com	400	1
63	Sempra Energy	"633 S Hawley Rd, Milwaukee, WI"	 Milwaukee	 WI	http://www.sempra.com	900	1
78	Precision Castparts	"726 Union St, Hudson, NY"	 Hudson	 NY	http://www.precast.com	1200	1
111	W.W. Grainger	"378 S Negley Ave, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.grainger.com	1500	1
125	Air Products & Chemicals	"612 Jefferson Ave, Scranton, PA"	 Scranton	 PA	http://www.airproducts.com	2300	1
163	Charter Communications	"802 North Ave, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.charter.com	3600	1
195	Applied Materials	"Via Dolorosa 69, Tellaro, "	 Tellaro	 	http://www.appliedmaterials.com	700	1
206	Ally Financial	"Via Notoriosa 1949, Ventimiglia, "	 Ventimiglia	 	http://www.ally.com	3600	1
218	Lennar	"1592 Silverado St, Bangalore, Kar"	 Bangalore	 Kar	http://www.lennar.com	700	1
243	Hormel Foods	"1648 Anamika St, Cochin, Ker"	 Cochin	 Ker	http://www.hormelfoods.com	500	1
254	PayPal Holdings	"Via Dello Croce 93, Roma, "	 Roma	 	http://www.paypal.com	1200	1
266	Autoliv	"Via Delle Capeletti 52, San Giminiano, "	 San Giminiano	 	http://www.autoliv.com	400	1
294	Corning	"Pfannenstilstr 13, Egg, ZH"	 Egg	 ZH	http://www.corning.com	2300	1
301	Univar	"1598 Legend St, Bangalore, Kar"	 Bangalore	 Kar	http://www.univar.com	5000	1
314	Thrivent Financial for Lutherans	"1617 Crackers St, Bangalore - India, Kar"	 Bangalore - India	 Kar	http://www.thrivent.com	900	1
88	Walmart	"1790 Grand Blvd, Schenectady, NY"	 Schenectady	 NY	http://www.walmart.com	1200	1
89	Exxon Mobil	"7 Ingelside Ln, White Plains, NY"	 White Plains	 NY	http://www.exxonmobil.com	1200	1
90	Apple	"18 Glenridge Rd, Schenectady, NY"	 Schenectady	 NY	http://www.apple.com	1200	1
91	Berkshire Hathaway	"6432 Rising Sun Ave, Philadelphia, PA"	 Philadelphia	 PA	http://www.berkshirehathaway.com	1200	1
92	McKesson	"Rr 10, Reading, PA"	 Reading	 PA	http://www.mckesson.com	1200	1
93	UnitedHealth Group	"2455 Rose Garden Rd, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.unitedhealthgroup.com	1200	1
94	CVS Health	"1812 Timberline Rd, Altoona, PA"	 Altoona	 PA	http://www.cvshealth.com	1200	1
95	General Motors	"141 Schiller St, Reading, PA"	 Reading	 PA	http://www.gm.com	1200	1
96	Ford Motor	"1126 Pawlings Rd, Norristown, PA"	 Norristown	 PA	http://www.ford.com	1200	1
97	AT&T	"55 Church Hill Rd, Reading, PA"	 Reading	 PA	http://www.att.com	1200	1
98	General Electric	"354 N Prince St, Lancaster, PA"	 Lancaster	 PA	http://www.ge.com	1200	1
99	AmerisourceBergen	"115 Chestnut St, Philadelphia, PA"	 Philadelphia	 PA	http://www.amerisourcebergen.com	1400	1
100	Verizon	"2899 Grand Ave, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.verizon.com	1400	1
101	Chevron	"Po Box 39, Indiana, PA"	 Indiana	 PA	http://www.chevron.com	1400	1
102	Costco	"1604 Broadway Ave, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.costco.com	1400	1
103	Fannie Mae	"4734 Liberty Ave, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.fanniemae.com	1400	1
104	Kroger	"21 Thornwood Rd, Harrisburg, PA"	 Harrisburg	 PA	http://www.thekrogerco.com	1400	1
105	Amazon.com	"3725 W Lake Rd, Erie, PA"	 Erie	 PA	http://www.amazon.com	1400	1
106	Walgreens Boots Alliance	"1808 4Th Ave, Altoona, PA"	 Altoona	 PA	http://www.walgreensbootsalliance.com	1400	1
107	HP	"Station Sq, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.hp.com	1400	1
108	Cardinal Health	"4020 Garden Ave, Erie, PA"	 Erie	 PA	http://www.cardinal.com	1400	1
109	Express Scripts Holding	"100 N Peach St, Philadelphia, PA"	 Philadelphia	 PA	http://www.express-scripts.com	1400	1
110	J.P. Morgan Chase	"835 Heister Ln, Reading, PA"	 Reading	 PA	http://www.jpmorganchase.com	1400	1
112	Boeing	"5643 N 5Th St, Philadelphia, PA"	 Philadelphia	 PA	http://www.boeing.com	1500	1
113	Microsoft	"1401 W Warren Rd, Bradford, PA"	 Bradford	 PA	http://www.microsoft.com	1500	1
114	Bank of America Corp.	"815 Freeport Rd, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.bankofamerica.com	1500	1
115	Wells Fargo	"327 N Washington Ave # 300, Scranton, PA"	 Scranton	 PA	http://www.wellsfargo.com	1900	1
117	Home Depot	"4901 Locust Ln, Harrisburg, PA"	 Harrisburg	 PA	http://www.homedepot.com	2300	1
118	Citigroup	"3376 Perrysville Ave, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.citigroup.com	2300	1
119	Phillips 66	"220 Penn Ave # 300, Scranton, PA"	 Scranton	 PA	http://www.phillips66.com	2300	1
121	IBM	"522 Swede St, Norristown, PA"	 Norristown	 PA	http://www.ibm.com	2300	1
122	Valero Energy	"7708 City Ave, Philadelphia, PA"	 Philadelphia	 PA	http://www.valero.com	2300	1
123	Anthem	"1801 Lititz Pike, Lancaster, PA"	 Lancaster	 PA	http://www.antheminc.com	2300	1
124	Procter & Gamble	"101 E Olney Ave, Philadelphia, PA"	 Philadelphia	 PA	http://www.pg.com	2300	1
127	Alphabet	"36 W 34Th St, Erie, PA"	 Erie	 PA	http://www.google.com	2400	1
128	Comcast	"1007 Mount Royal Blvd, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.comcastcorporation.com	2400	1
129	Target	"601 Market St, Philadelphia, PA"	 Philadelphia	 PA	http://www.target.com	2400	1
132	MetLife	"5122 Sinclair Ln, Baltimore, MD"	 Baltimore	 MD	http://www.metlife.com	2400	1
133	Archer Daniels Midland	"680 Bel Air Rd, Bel Air, MD"	 Bel Air	 MD	http://www.adm.com	2400	1
135	Freddie Mac	"8004 Stansbury Rd, Baltimore, MD"	 Baltimore	 MD	http://www.freddiemac.com	2400	1
136	PepsiCo	"10209 Yearling Dr, Rockville, MD"	 Rockville	 MD	http://www.pepsico.com	2400	1
137	United Technologies	"3000 Greenmount Ave, Baltimore, MD"	 Baltimore	 MD	http://www.utc.com	2400	1
139	Lowe?s	"1262 Vocke Rd, Cumberland, MD"	 Cumberland	 MD	http://www.lowes.com	2400	1
140	UPS	"3314 Eastern Ave, Baltimore, MD"	 Baltimore	 MD	http://www.ups.com	2400	1
142	Prudential Financial	"11200 Scaggsville Rd, Laurel, MD"	 Laurel	 MD	http://www.prudential.com	2400	1
144	Humana	"2300 Harford Rd, Baltimore, MD"	 Baltimore	 MD	http://www.humana.com	2400	1
145	Disney	"2 2Nd St # A, Ocean City, MD"	 Ocean City	 MD	http://www.disney.com	2400	1
146	Cisco Systems	"6917 W Oklahoma Ave, Milwaukee, WI"	 Milwaukee	 WI	http://www.cisco.com	2400	1
148	Dow Chemical	"160 Glenwood Ave, Minneapolis, MN"	 Minneapolis	 MN	http://www.dow.com	2400	1
149	Sysco	"6915 Grand Ave, Hammond, IN"	 Hammond	 IN	http://www.sysco.com	2400	1
151	Caterpillar	"65 Cadillac Sq # 2701, Detroit, MI"	 Detroit	 MI	http://www.caterpillar.com	2500	1
152	Lockheed Martin	"3435 Tuscany Dr Se, Grand Rapids, MI"	 Grand Rapids	 MI	http://www.lockheedmartin.com	2500	1
155	Coca-Cola	"810 1St Ave, Council Bluffs, IA"	 Council Bluffs	 IA	http://www.coca-colacompany.com	3500	1
156	HCA Holdings	"500 W Oklahoma Ave, Milwaukee, WI"	 Milwaukee	 WI	http://www.hcahealthcare.com	3500	1
159	Energy Transfer Equity	"1721 E Lake St, Minneapolis, MN"	 Minneapolis	 MN	http://www.energytransfer.com	3600	1
160	Tyson Foods	"255 Great Arrow Ave, Buffalo, NY"	 Buffalo	 NY	http://www.tysonfoods.com	3600	1
162	Delta Air Lines	"6640 Campbell Blvd, Lockport, NY"	 Lockport	 NY	http://www.delta.com	3600	1
164	Nationwide	"1136 Arch St, Philadelphia, PA"	 Philadelphia	 PA	http://www.nationwide.com	3600	1
166	Best Buy	"Rt 6 E, Warren, PA"	 Warren	 PA	http://www.bestbuy.com	3700	1
167	Merck	"1924 Bedford St, Cumberland, MD"	 Cumberland	 MD	http://www.merck.com	3700	1
169	Liberty Mutual Insurance Group	"2713 N Bendix Dr, South Bend, IN"	 South Bend	 IN	http://www.libertymutual.com	3700	1
171	Honeywell International	"752 W Huron St, Pontiac, MI"	 Pontiac	 MI	http://www.honeywell.com	3700	1
173	Massachusetts Mutual Life Insurance	"1330 N Memorial Dr, Racine, WI"	 Racine	 WI	http://www.massmutual.com	5000	1
175	Morgan Stanley	"8 Automation Ln, Albany, NY"	 Albany	 NY	http://www.morganstanley.com	5000	1
176	Cigna	"811 N Brandywine Ave, Schenectady, NY"	 Schenectady	 NY	http://www.cigna.com	5000	1
178	Allstate	"3025 Sussex Ave, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.allstate.com	5000	1
179	TIAA	"932 High St, Lancaster, PA"	 Lancaster	 PA	http://www.tiaa.org	5000	1
181	CHS	"6959 Tulip St, Philadelphia, PA"	 Philadelphia	 PA	http://www.chsinc.com	5000	1
182	American Express	"511 S Central Ave # A, Baltimore, MD"	 Baltimore	 MD	http://www.americanexpress.com	5000	1
183	Gilead Sciences	"400 E Joppa Rd, Baltimore, MD"	 Baltimore	 MD	http://www.gilead.com	5000	1
185	General Dynamics	"1796 Tsing Tao, Muang Nonthaburi, "	 Muang Nonthaburi	 	http://www.generaldynamics.com	1200	1
186	TJX	"1810 Tucker Crt, Mumbai, "	 Mumbai	 	http://www.tjx.com	5000	1
188	Nike	"Sendlinger Tor 4, Munich, "	 Munich	 	http://www.nike.com	2400	1
189	World Fuel Services	"Theresienstr 15, Munich, "	 Munich	 	http://www.wfscorp.com	2400	1
191	Mondelez International	"1822 Ironweed St, Toronto, ONT"	 Toronto	 ONT	http://www.mondelezinternational.com	1200	1
193	Twenty-First Century Fox	"Via Notoriosa 1932 Rd, Firenze, "	 Firenze	 	http://www.21cf.com	500	1
194	Deere	"Via Notoriosa 1941, Firenze, "	 Firenze	 	http://www.johndeere.com	500	1
209	Time Warner	"Via Delle Grazie 11, Tellaro, "	 Tellaro	 	http://www.timewarner.com	2400	1
196	DuPont	"Via Notoriosa 1943, Firenze, "	 Firenze	 	http://www.dupont.com	2400	1
197	Avnet	"Via Luminosa 162, Tellaro, "	 Tellaro	 	http://www.avnet.com	700	1
199	Macy?s	"Via Di Firenze 231, Tellaro, "	 Tellaro	 	http://www.macysinc.com	700	1
201	Travelers Cos.	"Via Frenzy 6903, Tellaro, "	 Tellaro	 	http://www.travelers.com	3600	1
203	Philip Morris International	"Piazza Quattre Stagioni 4, San Giminiano, "	 San Giminiano	 	http://www.pmi.com	3600	1
205	Tech Data	"Via Notoriosa 1932, Tellaro, "	 Tellaro	 	http://www.techdata.com	3600	1
211	McDonald?s	"2034 Sabrina Rd, Samutprakarn, "	 Samutprakarn	 	http://www.aboutmcdonalds.com	3700	1
213	Sears Holdings	"Ruella Delle Spiriti, Milano, "	 Milano	 	http://www.searsholdings.com	500	1
215	Capital One Financial	"Via Delle Capeletti 52, San Giminiano, "	 San Giminiano	 	http://www.capitalone.com	1500	1
217	USAA	"Via Delli Capelli 2, San Giminiano, "	 San Giminiano	 	http://www.usaa.com	700	1
219	Duke Energy	"1593 Silverado St, Bangalore, Kar"	 Bangalore	 Kar	http://www.duke-energy.com	5000	1
221	Halliburton	"1602 Sholay St, Chennai, Tam"	 Chennai	 Tam	http://www.halliburton.com	1500	1
224	Arrow Electronics	"1607 Sangam Blvd, New Delhi, "	 New Delhi	 	http://www.arrow.com	5000	1
1	Raytheon	"514 W Superior St, Kokomo, IN"	 Kokomo	 IN	http://www.raytheon.com	100	1
2	Plains GP Holdings	"2515 Bloyd Ave, Indianapolis, IN"	 Indianapolis	 IN	http://www.plainsallamerican.com	100	1
3	US Foods Holding	"8768 N State Rd 37, Bloomington, IN"	 Bloomington	 IN	http://www.usfoods.com	100	1
4	AbbVie	"6445 Bay Harbor Ln, Indianapolis, IN"	 Indianapolis	 IN	http://www.abbvie.com	100	1
5	Centene	"4019 W 3Rd St, Bloomington, IN"	 Bloomington	 IN	http://www.centene.com	100	1
6	Community Health Systems	"1608 Portage Ave, South Bend, IN"	 South Bend	 IN	http://www.chs.net	100	1
7	Alcoa	"23943 Us Highway 33, Elkhart, IN"	 Elkhart	 IN	http://www.alcoa.com	100	1
8	International Paper	"136 E Market St # 800, Indianapolis, IN"	 Indianapolis	 IN	http://www.internationalpaper.com	100	1
9	Emerson Electric	"1905 College St, South Bend, IN"	 South Bend	 IN	http://www.emerson.com	100	1
10	Union Pacific	"3512 Rockville Rd # 137C, Indianapolis, IN"	 Indianapolis	 IN	http://www.up.com	200	1
11	Amgen	"1303 E University St, Bloomington, IN"	 Bloomington	 IN	http://www.amgen.com	200	1
12	U.S. Bancorp	"115 N Weinbach Ave, Evansville, IN"	 Evansville	 IN	http://www.usbank.com	200	1
13	Staples	"2067 Rollett Ln, Evansville, IN"	 Evansville	 IN	http://www.staples.com	200	1
14	Danaher	"1105 E Allendale Dr, Bloomington, IN"	 Bloomington	 IN	http://www.danaher.com	200	1
15	Whirlpool	"18305 Van Dyke St, Detroit, MI"	 Detroit	 MI	http://www.whirlpoolcorp.com	200	1
16	Aflac	"Lucas Dr Bldg 348, Detroit, MI"	 Detroit	 MI	http://www.aflac.com	200	1
17	AutoNation	"1801 Monroe Ave Nw, Grand Rapids, MI"	 Grand Rapids	 MI	http://www.autonation.com	200	1
18	Progressive	"4925 Kendrick St Se, Grand Rapids, MI"	 Grand Rapids	 MI	http://www.progressive.com	200	1
19	Abbott Laboratories	"3310 Dixie Ct, Saginaw, MI"	 Saginaw	 MI	http://www.abbott.com	200	1
20	Dollar General	"113 Washington Sq N, Lansing, MI"	 Lansing	 MI	http://www.dollargeneral.com	200	1
21	Tenet Healthcare	"2500 S Pennsylvania Ave, Lansing, MI"	 Lansing	 MI	http://www.tenethealth.com	200	1
22	Eli Lilly	"3213 S Cedar St, Lansing, MI"	 Lansing	 MI	http://www.lilly.com	200	1
24	Southwest Airlines	"6654 W Lafayette St, Detroit, MI"	 Detroit	 MI	http://www.southwest.com	200	1
25	Penske Automotive Group	"27 Benton Rd, Saginaw, MI"	 Saginaw	 MI	http://www.penskeautomotive.com	200	1
26	ManpowerGroup	"8201 Livernois Ave, Detroit, MI"	 Detroit	 MI	http://www.manpowergroup.com	300	1
28	Kohl?s	"3100 E Eisenhower Pky # 100, Ann Arbor, MI"	 Ann Arbor	 MI	http://www.kohlscorporation.com	300	1
29	Starbucks	"952 Vassar Dr, Kalamazoo, MI"	 Kalamazoo	 MI	http://www.starbucks.com	400	1
30	Paccar	"150 W Jefferson Ave # 2500, Detroit, MI"	 Detroit	 MI	http://www.paccar.com	400	1
31	Cummins	"40 Pearl St Nw # 1020, Grand Rapids, MI"	 Grand Rapids	 MI	http://www.cummins.com	400	1
33	Altria Group	"301 E Genesee Ave, Saginaw, MI"	 Saginaw	 MI	http://www.altria.com	400	1
34	Xerox	"9936 Dexter Ave, Detroit, MI"	 Detroit	 MI	http://www.xerox.com	400	1
35	Kimberly-Clark	"1660 University Ter, Ann Arbor, MI"	 Ann Arbor	 MI	http://www.kimberly-clark.com	400	1
36	Hartford Financial Services Group	"15713 N East St, Lansing, MI"	 Lansing	 MI	http://www.thehartford.com	400	1
38	Kraft Heinz	"10315 Hickman Rd, Des Moines, IA"	 Des Moines	 IA	http://www.kraftheinzcompany.com	500	1
40	Fluor	"1928 Sherwood Dr, Council Bluffs, IA"	 Council Bluffs	 IA	http://www.fluor.com	500	1
41	AECOM	"2102 E Kimberly Rd, Davenport, IA"	 Davenport	 IA	http://www.aecom.com	500	1
44	Jabil Circuit	"221 3Rd Ave Se # 300, Cedar Rapids, IA"	 Cedar Rapids	 IA	http://www.jabil.com	500	1
45	CenturyLink	"2120 Heights Dr, Eau Claire, WI"	 Eau Claire	 WI	http://www.centurylink.com	500	1
47	General Mills	"6555 W Good Hope Rd, Milwaukee, WI"	 Milwaukee	 WI	http://www.generalmills.com	600	1
48	Southern	"1314 N Stoughton Rd, Madison, WI"	 Madison	 WI	http://www.southerncompany.com	600	1
50	Thermo Fisher Scientific	"6161 N 64Th St, Milwaukee, WI"	 Milwaukee	 WI	http://www.thermofisher.com	700	1
51	American Electric Power	"11016 W Lincoln Ave, Milwaukee, WI"	 Milwaukee	 WI	http://www.aep.com	700	1
53	NGL Energy Partners	"615 N Sherman Ave, Madison, WI"	 Madison	 WI	http://www.nglenergypartners.com	700	1
54	Bristol-Myers Squibb	"512 E Grand Ave, Beloit, WI"	 Beloit	 WI	http://www.bms.com	700	1
56	Nucor	"5235 N Ironwood Ln, Milwaukee, WI"	 Milwaukee	 WI	http://www.nucor.com	700	1
57	PNC Financial Services Group	"322 E Michigan St, Milwaukee, WI"	 Milwaukee	 WI	http://www.pnc.com	700	1
58	Health Net	"1400 Bellinger St Fl 4, Eau Claire, WI"	 Eau Claire	 WI	http://www.healthnet.com	700	1
60	Colgate-Palmolive	"808 3Rd St # 100, Wausau, WI"	 Wausau	 WI	http://www.colgatepalmolive.com	700	1
61	Freeport-McMoRan	"300 Crooks St, Green Bay, WI"	 Green Bay	 WI	http://www.fcx.com	900	1
64	Gap	"2122 Campbell Rd, La Crosse, WI"	 La Crosse	 WI	http://www.gapinc.com	1200	1
65	Baker Hughes	"3324 N Oakland Ave, Milwaukee, WI"	 Milwaukee	 WI	http://www.bakerhughes.com	1200	1
67	Dollar Tree	"1501 Lowry Ave N, Minneapolis, MN"	 Minneapolis	 MN	http://www.dollartree.com	1200	1
69	Whole Foods Market	"4200 Yosemite Ave S, Minneapolis, MN"	 Minneapolis	 MN	http://www.wholefoodsmarket.com	1200	1
70	PPG Industries	"2800 Chicago Ave # 100, Minneapolis, MN"	 Minneapolis	 MN	http://www.ppg.com	1200	1
72	Icahn Enterprises	"314 W Superior St # 1015, Duluth, MN"	 Duluth	 MN	http://www.ielp.com	1200	1
74	Performance Food Group	"2720 Brewerton Rd, Syracuse, NY"	 Syracuse	 NY	http://www.pfgc.com	1200	1
76	DISH Network	"1522 Main St, Niagara Falls, NY"	 Niagara Falls	 NY	http://www.dish.com	1200	1
77	FirstEnergy	"49 N Pine Ave, Albany, NY"	 Albany	 NY	http://www.firstenergycorp.com	1200	1
80	AES	"33 Fulton St, Poughkeepsie, NY"	 Poughkeepsie	 NY	http://www.aes.com	1200	1
81	CarMax	"2360 Maxon Rd, Schenectady, NY"	 Schenectady	 NY	http://www.carmax.com	1200	1
84	NRG Energy	"500 S Salina St # 500, Syracuse, NY"	 Syracuse	 NY	http://www.nrgenergy.com	1200	1
85	Western Digital	"33 Pine St, Lockport, NY"	 Lockport	 NY	http://www.westerndigital.com	1200	1
226	Office Depot	"1612 Talaivar St, Chennai, Tam"	 Chennai	 Tam	http://www.officedepot.com	5000	1
227	Nordstrom	"1613 Victoria St, Calcutta, "	 Calcutta	 	http://www.nordstrom.com	5000	1
229	Aramark	"1615 Crackers Crt, Chennai - India, "	 Chennai - India	 	http://www.aramark.com	300	1
230	DaVita HealthCare Partners	"1616 Mr. India Ln, Bombay - India, Kar"	 Bombay - India	 Kar	http://www.davita.com	300	1
232	WellCare Health Plans	"1618 Villains St, New Delhi - India, "	 New Delhi - India	 	http://www.wellcare.com	1200	1
233	CBS	"1619 Bowlers Rd, Chandigarh, Har"	 Chandigarh	 Har	http://www.cbscorporation.com	1200	1
234	Visa	"1620 Sixers Crt, Bombay, Kar"	 Bombay	 Kar	http://www.visa.com	5000	1
236	Ecolab	"1623 Hey Ram St, Chennai - India, "	 Chennai - India	 	http://www.ecolab.com	5000	1
237	Kellogg	"1627 Sowdagar St, New Delhi, "	 New Delhi	 	http://www.kelloggcompany.com	1900	1
239	Textron	"1632 Splash St, Chandigarh, Har"	 Chandigarh	 Har	http://www.textron.com	2500	1
240	Loews	"1636 Pretty Blvd, Bangalore, Kar"	 Bangalore	 Kar	http://www.loews.com	5000	1
241	Illinois Tool Works	"1646 Brazil Blvd, Chennai, Tam"	 Chennai	 Tam	http://www.itw.com	500	1
244	Viacom	"1650 Teesri Manjil Crt, Kashmir, "	 Kashmir	 	http://www.viacom.com	3700	1
246	Land O?Lakes	"1662 Talaivar St, Chennai, Tam"	 Chennai	 Tam	http://www.landolakesinc.com	1500	1
248	Devon Energy	"Piazza Del Congresso 22, Roma, "	 Roma	 	http://www.devonenergy.com	3700	1
251	Yum Brands	"Ruella Delle Spiriti, Roma, "	 Roma	 	http://www.yum.com	500	1
252	Texas Instruments	"Via Del Disegno 194, Roma, "	 Roma	 	http://www.ti.com	500	1
253	CDW	"Via Delle Capeletti 52, Roma, "	 Roma	 	http://www.cdw.com	500	1
256	Marsh & McLennan	"Via Dolorosa 69, Roma, "	 Roma	 	http://www.mmc.com	2400	1
257	Chesapeake Energy	"Via Notoriosa 1942, Ventimiglia, "	 Ventimiglia	 	http://www.chk.com	700	1
260	Occidental Petroleum	"Piazza Cacchiatore 23, Roma, "	 Roma	 	http://www.oxy.com	700	1
261	Guardian Life Ins. Co. of America	"Via Del Disegno 194, San Giminiano, "	 San Giminiano	 	http://www.guardianlife.com	600	1
264	J.C. Penney	"Via Dello Croce 93, San Giminiano, "	 San Giminiano	 	http://www.jcpenney.com	400	1
265	Consolidated Edison	"Ruella Delle Spiriti, San Giminiano, "	 San Giminiano	 	http://www.conedison.com	400	1
267	Cognizant Technology Solutions	"Via Delli Capelli 2, Tellaro, "	 Tellaro	 	http://www.cognizant.com	400	1
269	Ameriprise Financial	"Harmoniegasse 3, Baden-Daettwil, AG"	 Baden-Daettwil	 AG	http://www.ameriprise.com	500	1
271	Computer Sciences	"Alfred E. Neumann-Weg 3, Baden-Daettwil, AG"	 Baden-Daettwil	 AG	http://www.csc.com	500	1
272	L Brands	"Dr. Herbert Bitto Str 23, Baden-Daettwil, AG"	 Baden-Daettwil	 AG	http://www.lb.com	2300	1
273	Jacobs Engineering Group	"Taefernstr 4, Baden-Daettwil, AG"	 Baden-Daettwil	 AG	http://www.jacobs.com	2300	1
275	Principal Financial	"Helebardenweg 5, Baden-Daettwil, AG"	 Baden-Daettwil	 AG	http://www.principal.com	3500	1
276	Ross Stores	"Zum Freundlichen Nachbarn 5, Baden-Daettwil, AG"	 Baden-Daettwil	 AG	http://www.rossstores.com	3500	1
277	Bed Bath & Beyond	"Ziegenwiese 3, Baden-Daettwil, AG"	 Baden-Daettwil	 AG	http://www.bedbathandbeyond.com	3500	1
